"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS"
"31","Jordan Wilkins",IND,"at TEN","5 out of 5 stars","C","7.5"
"32","Gus Edwards",BAL,"at NE","4 out of 5 stars","C","7.5"
"33","Damien Harris",NE,"vs. BAL","2 out of 5 stars","C","7.4"
"34","Jamaal Williams",GB,"vs. JAC","5 out of 5 stars","C","7.4"
"35","Nyheim Hines",IND,"at TEN","5 out of 5 stars","C","7.4"
"36","James White",NE,"vs. BAL","2 out of 5 stars","C-","7.3"
"37","Joshua Kelley",LAC,"at MIA","4 out of 5 stars","C-","7.1"
"38","Kalen Ballage",LAC,"at MIA","4 out of 5 stars","C-","7.1"
"39","Malcolm Brown",LAR,"vs. SEA","2 out of 5 stars","D+","7.0"
"40","Latavius Murray",NO,"vs. SF","1 out of 5 stars","D+","6.9"
"41","Rex Burkhead",NE,"vs. BAL","2 out of 5 stars","D+","6.9"
"42","DeeJay Dallas",SEA,"at LAR","2 out of 5 stars","D","6.7"
"43","Adrian Peterson",DET,"vs. WAS","2 out of 5 stars","D","6.7"
"44","JaMycal Hasty",SF,"at NO","1 out of 5 stars","D","6.6"
"45","Jordan Howard",MIA,"vs. LAC","3 out of 5 stars","D","6.5"
"46","Salvon Ahmed",MIA,"vs. LAC","3 out of 5 stars","D","6.1"
"47","Alexander Mattison",MIN,"at CHI","2 out of 5 stars","F","6.0"
"48","Troymaine Pope",LAC,"at MIA","4 out of 5 stars","D-","5.9"
"49","Chris Thompson",JAC,"at GB","5 out of 5 stars","F","5.8"
"50","Joe Mixon",CIN,"at PIT","2 out of 5 stars","C-","5.6"
"51","Travis Homer",SEA,"at LAR","2 out of 5 stars","F","5.0"
"52","Boston Scott",PHI,"at NYG","4 out of 5 stars","F","5.0"
"53","Kerryon Johnson",DET,"vs. WAS","2 out of 5 stars","F","4.8"
"54","Devontae Booker",LV,"vs. DEN","1 out of 5 stars","F","4.5"
"55","David Johnson",HOU,"at CLE","3 out of 5 stars","C-","4.5"
"56","Cam Akers",LAR,"vs. SEA","2 out of 5 stars","F","4.1"
"57","Benny Snell Jr.",PIT,"vs. CIN","3 out of 5 stars","F","4.1"
"58","Jalen Richard",LV,"vs. DEN","1 out of 5 stars","F","4.0"
"59","Tyler Ervin",GB,"vs. JAC","5 out of 5 stars","F","3.8"
"60","Dion Lewis",NYG,"vs. PHI","2 out of 5 stars","F","3.8"
"61","Ryan Nall",CHI,"vs. MIN","3 out of 5 stars","F","3.6"
"62","Anthony McFarland Jr.",PIT,"vs. CIN","3 out of 5 stars","F","3.4"
"63","Patrick Laird",MIA,"vs. LAC","3 out of 5 stars","F","3.3"
"64","Devonta Freeman",NYG,"vs. PHI","2 out of 5 stars","F","3.3"
"65","Kenyan Drake",ARI,"vs. BUF","5 out of 5 stars","D-","3.2"
"66","Jeremy McNichols",TEN,"vs. IND","1 out of 5 stars","F","3.2"
"67","Alfred Morris",NYG,"vs. PHI","2 out of 5 stars","F","3.1"
"68","D'Onta Foreman",TEN,"vs. IND","1 out of 5 stars","F","3.1"
"69","Kyle Juszczyk",SF,"at NO","1 out of 5 stars","F","3.1"
"70","Peyton Barber",WAS,"at DET","5 out of 5 stars","F","3.1"
"71","Justin Jackson",LAC,"at MIA","4 out of 5 stars","F","3.0"
"72","DeAndre Washington",MIA,"vs. LAC","3 out of 5 stars","F","3.0"
"73","Mark Ingram II",BAL,"at NE","4 out of 5 stars","F","2.9"
"74","Alex Collins",SEA,"at LAR","2 out of 5 stars","F","2.9"
"75","Trenton Cannon",CAR,"vs. TB","2 out of 5 stars","F","2.7"
"76","Jaylen Samuels",PIT,"vs. CIN","3 out of 5 stars","F","2.6"
"77","Samaje Perine",CIN,"at PIT","2 out of 5 stars","F","2.6"
"78","Matt Breida",MIA,"vs. LAC","3 out of 5 stars","F","2.4"
"79","LeSean McCoy",TB,"at CAR","4 out of 5 stars","F","2.4"
"80","Corey Clement",PHI,"at NYG","4 out of 5 stars","F","2.3"
"81","D.J. Foster",ARI,"vs. BUF","5 out of 5 stars","F","2.2"
"82","Buddy Howell",HOU,"at CLE","3 out of 5 stars","F","2.1"
"83","Carlos Hyde",SEA,"at LAR","2 out of 5 stars","F","2.0"
"84","Alec Ingold",LV,"vs. DEN","1 out of 5 stars","F","1.9"
"85","Royce Freeman",DEN,"at LV","4 out of 5 stars","F","1.8"
"86","C.J. Ham",MIN,"at CHI","2 out of 5 stars","F","1.8"
"87","Jakob Johnson",NE,"vs. BAL","2 out of 5 stars","F","1.8"
"88","Alex Armah",CAR,"vs. TB","2 out of 5 stars","F","1.7"
"89","Justice Hill",BAL,"at NE","4 out of 5 stars","F","1.7"
"90","D'Ernest Johnson",CLE,"vs. HOU","5 out of 5 stars","F","1.7"
"91","Eno Benjamin",ARI,"vs. BUF","5 out of 5 stars","F","1.6"
"92","Ameer Abdullah",MIN,"at CHI","2 out of 5 stars","F","1.6"
"93","Sony Michel",NE,"vs. BAL","2 out of 5 stars","F","1.6"
"94","AJ Dillon",GB,"vs. JAC","5 out of 5 stars","F","1.5"
"95","Patrick Ricard",BAL,"at NE","4 out of 5 stars","F","1.4"
"96","Dare Ogunbowale",JAC,"at GB","5 out of 5 stars","F","1.4"
"97","Ke'Shawn Vaughn",TB,"at CAR","4 out of 5 stars","F","1.4"
"98","Elijhaa Penny",NYG,"vs. PHI","2 out of 5 stars","F","1.4"
"99","Reggie Gilliam",BUF,"at ARI","2 out of 5 stars","F","1.3"
"100","Michael Burton",NO,"vs. SF","1 out of 5 stars","F","1.3"
"101","Andy Janovich",CLE,"vs. HOU","5 out of 5 stars","F","1.3"
"102","Cullen Gillaspia",HOU,"at CLE","3 out of 5 stars","F","1.2"
"103","Dontrell Hilliard",CLE,"vs. HOU","5 out of 5 stars","F","1.1"
"104","Reggie Bonnafon",CAR,"vs. TB","2 out of 5 stars","F","1.1"
"105","Lynn Bowden Jr.",MIA,"vs. LAC","3 out of 5 stars","F","0.9"
"106","Senorise Perry",TEN,"vs. IND","1 out of 5 stars","F","0.9"
"107","Austin Walter",SF,"at NO","1 out of 5 stars","F","0.9"
"108","Trayveon Williams",CIN,"at PIT","2 out of 5 stars","F","0.4"
"109","Khari Blasingame",TEN,"vs. IND","1 out of 5 stars","F","-"
"110","Tevin Coleman",SF,"at NO","1 out of 5 stars","F","-"
"111","Ty Montgomery",NO,"vs. SF","1 out of 5 stars","F","-"
"112","Devine Ozigbo",JAC,"at GB","5 out of 5 stars","F","-"
"113","Scottie Phillips",HOU,"at CLE","3 out of 5 stars","F","-"
"114","Dwayne Washington",NO,"vs. SF","1 out of 5 stars","F","-"
"115","Artavis Pierce",CHI,"vs. MIN","3 out of 5 stars","F","-"
"116","Jonathan Ward",ARI,"vs. BUF","5 out of 5 stars","F","-"
"117","Mike Boone",MIN,"at CHI","2 out of 5 stars","F","-"
"118","Theo Riddick",LV,"vs. DEN","1 out of 5 stars","F","-"
"119","Johnathan Lovett",FA,"-","-","F","-"
"120","Jason Huntley",PHI,"at NYG","4 out of 5 stars","F","-"
"121","Chandler Cox",MIA,"vs. LAC","3 out of 5 stars","F","-"
"122","Jeremy Cox",DEN,"at LV","4 out of 5 stars","F","-"
