"RK","PLAYER NAME",TEAM,"OPP","MATCHUP (?)","START/SIT","PROJ. FPTS"
"54","Scotty Miller",TB,"vs. NO","4 out of 5 stars","C-","7.1"
"55","Emmanuel Sanders",NO,"at TB","3 out of 5 stars","C-","7.0"
"56","Hunter Renfrow",LV,"at LAC","3 out of 5 stars","D+","7.0"
"57","Danny Amendola",DET,"at MIN","5 out of 5 stars","D+","7.0"
"58","Tim Patrick",DEN,"at ATL","5 out of 5 stars","C-","6.9"
"59","Demarcus Robinson",KC,"vs. CAR","1 out of 5 stars","D","6.9"
"60","Damiere Byrd",NE,"at NYJ","4 out of 5 stars","D","6.8"
"61","Marquez Valdes-Scantling",GB,"at SF","3 out of 5 stars","D","6.8"
"62","Golden Tate",NYG,"at WAS","1 out of 5 stars","D","6.7"
"63","Tre'Quan Smith",NO,"at TB","3 out of 5 stars","D","6.7"
"64","KJ Hamler",DEN,"at ATL","5 out of 5 stars","D","6.6"
"65","Marcus Johnson",IND,"vs. BAL","2 out of 5 stars","D-","6.5"
"66","Marvin Hall",DET,"at MIN","5 out of 5 stars","D-","6.5"
"67","Richie James Jr.",SF,"vs. GB","2 out of 5 stars","D-","6.5"
"68","Michael Pittman Jr.",IND,"vs. BAL","2 out of 5 stars","F","6.3"
"69","Braxton Berrios",NYJ,"vs. NE","2 out of 5 stars","F","6.0"
"70","Jamison Crowder",NYJ,"vs. NE","2 out of 5 stars","C-","5.8"
"71","David Moore",SEA,"at BUF","1 out of 5 stars","F","5.8"
"72","Chris Godwin",TB,"vs. NO","4 out of 5 stars","C-","5.7"
"73","Jalen Guyton",LAC,"vs. LV","3 out of 5 stars","F","5.4"
"74","James Washington",PIT,"at DAL","4 out of 5 stars","F","5.4"
"75","Larry Fitzgerald",ARI,"vs. MIA","3 out of 5 stars","F","5.4"
"76","Willie Snead IV",BAL,"at IND","4 out of 5 stars","F","5.2"
"77","Gabriel Davis",BUF,"vs. SEA","5 out of 5 stars","F","5.1"
"78","DaeSean Hamilton",DEN,"at ATL","5 out of 5 stars","F","5.1"
"79","Andy Isabella",ARI,"vs. MIA","3 out of 5 stars","F","5.0"
"80","Jeff Smith",NYJ,"vs. NE","2 out of 5 stars","F","5.0"
"81","N'Keal Harry",NE,"at NYJ","4 out of 5 stars","F","4.8"
"82","Jakeem Grant",MIA,"at ARI","3 out of 5 stars","F","4.8"
"83","Devin Duvernay",BAL,"at IND","4 out of 5 stars","F","4.8"
"84","Miles Boykin",BAL,"at IND","4 out of 5 stars","F","4.6"
"85","Christian Blake",ATL,"vs. DEN","3 out of 5 stars","F","4.6"
"86","Cordarrelle Patterson",CHI,"at TEN","5 out of 5 stars","F","4.6"
"87","Calvin Ridley",ATL,"vs. DEN","3 out of 5 stars","D","4.6"
"88","Deonte Harris",NO,"at TB","3 out of 5 stars","F","4.5"
"89","Quintez Cephus",DET,"at MIN","5 out of 5 stars","F","4.5"
"90","Breshad Perriman",NYJ,"vs. NE","2 out of 5 stars","F","4.3"
"91","Cam Sims",WAS,"vs. NYG","4 out of 5 stars","F","4.3"
"92","Kenny Stills",HOU,"at JAC","4 out of 5 stars","F","4.3"
"93","Chris Conley",JAC,"vs. HOU","5 out of 5 stars","F","4.3"
"94","Kalif Raymond",TEN,"vs. CHI","1 out of 5 stars","F","4.2"
"95","Kevin White",SF,"vs. GB","2 out of 5 stars","F","4.1"
"96","Byron Pringle",KC,"vs. CAR","1 out of 5 stars","F","4.1"
"97","Olamide Zaccheaus",ATL,"vs. DEN","3 out of 5 stars","F","3.9"
"98","Tyler Johnson",TB,"vs. NO","4 out of 5 stars","F","3.9"
"99","Dontrelle Inman",WAS,"vs. NYG","4 out of 5 stars","F","3.8"
"100","Equanimeous St. Brown",GB,"at SF","3 out of 5 stars","F","3.8"
"101","Chad Beebe",MIN,"vs. DET","4 out of 5 stars","F","3.7"
"102","River Cracraft",SF,"vs. GB","2 out of 5 stars","F","3.5"
"103","Isaiah McKenzie",BUF,"vs. SEA","5 out of 5 stars","F","3.5"
"104","Cedrick Wilson",DAL,"vs. PIT","5 out of 5 stars","F","3.5"
"105","Freddie Swain",SEA,"at BUF","1 out of 5 stars","F","3.5"
"106","Isaiah Wright",WAS,"vs. NYG","4 out of 5 stars","F","3.4"
"107","Darrius Shepherd",GB,"at SF","3 out of 5 stars","F","3.4"
"108","Marquez Callaway",NO,"at TB","3 out of 5 stars","F","3.4"
"109","T.Y. Hilton",IND,"vs. BAL","2 out of 5 stars","F","3.4"
"110","Bryan Edwards",LV,"at LAC","3 out of 5 stars","F","3.3"
"111","Isaiah Ford",NE,"at NYJ","4 out of 5 stars","F","3.3"
"112","Malik Taylor",GB,"at SF","3 out of 5 stars","F","3.3"
"113","Ray-Ray McCloud",PIT,"at DAL","4 out of 5 stars","F","3.2"
"114","Isaiah Zuber",NE,"at NYJ","4 out of 5 stars","F","3.2"
"115","Collin Johnson",JAC,"vs. HOU","5 out of 5 stars","F","3.1"
"116","Zay Jones",LV,"at LAC","3 out of 5 stars","F","3.0"
"117","Sammy Watkins",KC,"vs. CAR","1 out of 5 stars","F","3.0"
"118","Brandon Powell",ATL,"vs. DEN","3 out of 5 stars","F","2.9"
"119","Gunner Olszewski",NE,"at NYJ","4 out of 5 stars","F","2.9"
"120","Mack Hollins",MIA,"at ARI","3 out of 5 stars","F","2.8"
"121","Vyncint Smith",NYJ,"vs. NE","2 out of 5 stars","F","2.8"
"122","Austin Carr",NO,"at TB","3 out of 5 stars","F","2.7"
"123","Noah Brown",DAL,"vs. PIT","5 out of 5 stars","F","2.7"
"124","Juwan Johnson",NO,"at TB","3 out of 5 stars","F","2.6"
"125","Austin Mack",NYG,"at WAS","1 out of 5 stars","F","2.6"
"126","Justin Watson",TB,"vs. NO","4 out of 5 stars","F","2.5"
"127","Olabisi Johnson",MIN,"vs. DET","4 out of 5 stars","F","2.3"
"128","Antonio Callaway",MIA,"at ARI","3 out of 5 stars","F","2.3"
"129","Marcus Kemp",KC,"vs. CAR","1 out of 5 stars","F","2.2"
"130","Antonio Gandy-Golden",WAS,"vs. NYG","4 out of 5 stars","F","2.1"
"131","Pharoh Cooper",CAR,"at KC","1 out of 5 stars","F","2.1"
"132","Tyron Johnson",LAC,"vs. LV","3 out of 5 stars","F","1.9"
"133","Joe Reed",LAC,"vs. LV","3 out of 5 stars","F","1.9"
"134","James Proche",BAL,"at IND","4 out of 5 stars","F","1.7"
"135","K.J. Hill",LAC,"vs. LV","3 out of 5 stars","F","1.6"
"136","Brandon Zylstra",CAR,"at KC","1 out of 5 stars","F","1.5"
"137","Jaydon Mickens",TB,"vs. NO","4 out of 5 stars","F","1.4"
"138","Nick Westbrook-Ikhine",TEN,"vs. CHI","1 out of 5 stars","F","1.4"
"139","Tyrie Cleveland",DEN,"at ATL","5 out of 5 stars","F","1.3"
"140","Malcolm Perry",MIA,"at ARI","3 out of 5 stars","F","1.3"
"141","Jason Moore",LAC,"vs. LV","3 out of 5 stars","F","1.3"
"142","C.J. Board",NYG,"at WAS","1 out of 5 stars","F","1.1"
"143","Robert Foster",WAS,"vs. NYG","4 out of 5 stars","F","0.9"
"144","Riley Ridley",CHI,"at TEN","5 out of 5 stars","F","0.9"
"145","Andre Roberts",BUF,"vs. SEA","5 out of 5 stars","F","0.7"
"146","DeAndre Carter",HOU,"at JAC","4 out of 5 stars","F","0.6"
"147","Dwayne Harris",CHI,"at TEN","5 out of 5 stars","F","0.3"
"148","Chris Finke",SF,"vs. GB","2 out of 5 stars","F","0.3"
"149","Diontae Spencer",DEN,"at ATL","5 out of 5 stars","F","0.2"
"150","Tajae Sharpe",MIN,"vs. DET","4 out of 5 stars","F","0.2"
"151","Keke Coutee",HOU,"at JAC","4 out of 5 stars","F","0.1"
