"RK","PLAYER NAME",TEAM,"OPP","MATCHUP (?)","START/SIT","PROJ. FPTS"
"92","Kenny Stills",HOU,"vs. GB","1 out of 5 stars","F","4.1"
"93","DaeSean Hamilton",DEN,"vs. KC","2 out of 5 stars","F","4.0"
"94","Braxton Berrios",NYJ,"vs. BUF","2 out of 5 stars","F","3.9"
"95","Denzel Mims",NYJ,"vs. BUF","2 out of 5 stars","F","3.9"
"96","Sterling Shepard",NYG,"at PHI","5 out of 5 stars","F","3.9"
"97","Byron Pringle",KC,"at DEN","3 out of 5 stars","F","3.6"
"98","Collin Johnson",JAC,"at LAC","3 out of 5 stars","F","3.6"
"99","Darrius Shepherd",GB,"at HOU","4 out of 5 stars","F","3.5"
"100","Mike Thomas",CIN,"vs. CLE","5 out of 5 stars","F","3.4"
"101","Trent Taylor",SF,"at NE","3 out of 5 stars","F","3.4"
"102","Van Jefferson",LAR,"vs. CHI","1 out of 5 stars","F","3.3"
"103","Christian Blake",ATL,"vs. DET","5 out of 5 stars","F","3.3"
"104","Freddie Swain",SEA,"at ARI","2 out of 5 stars","F","3.3"
"105","JJ Arcega-Whiteside",PHI,"vs. NYG","3 out of 5 stars","F","3.2"
"106","Isaiah McKenzie",BUF,"at NYJ","4 out of 5 stars","F","3.0"
"107","Zay Jones",LV,"vs. TB","3 out of 5 stars","F","2.9"
"108","Austin Mack",NYG,"at PHI","5 out of 5 stars","F","2.8"
"109","Cam Sims",WAS,"vs. DAL","5 out of 5 stars","F","2.8"
"110","Ray-Ray McCloud",PIT,"at TEN","5 out of 5 stars","F","2.7"
"111","Keith Kirkwood",CAR,"at NO","3 out of 5 stars","F","2.5"
"112","Marvin Hall",DET,"at ATL","5 out of 5 stars","F","2.5"
"113","Malik Taylor",GB,"at HOU","4 out of 5 stars","F","2.4"
"114","Equanimeous St. Brown",GB,"at HOU","4 out of 5 stars","F","2.4"
"115","Justin Watson",TB,"at LV","3 out of 5 stars","F","2.4"
"116","Cam Batson",TEN,"vs. PIT","5 out of 5 stars","F","2.2"
"117","K.J. Hill",LAC,"vs. JAC","3 out of 5 stars","F","2.2"
"118","Marquez Callaway",NO,"vs. CAR","1 out of 5 stars","F","2.1"
"119","Javon Wims",CHI,"at LAR","1 out of 5 stars","F","2.0"
"120","Noah Brown",DAL,"at WAS","2 out of 5 stars","F","1.9"
"121","John Ross",CIN,"vs. CLE","5 out of 5 stars","F","1.6"
"122","Seth Roberts",CAR,"at NO","3 out of 5 stars","F","1.5"
"123","Jakobi Meyers",NE,"vs. SF","3 out of 5 stars","F","1.5"
"124","Diontae Spencer",DEN,"vs. KC","2 out of 5 stars","F","1.5"
"125","Taywan Taylor",CLE,"at CIN","5 out of 5 stars","F","1.4"
"126","Brandon Powell",ATL,"vs. DET","5 out of 5 stars","F","1.4"
"127","Deon Cain",PIT,"at TEN","5 out of 5 stars","F","1.4"
"128","Andre Roberts",BUF,"at NYJ","4 out of 5 stars","F","1.0"
"129","Alex Erickson",CIN,"vs. CLE","5 out of 5 stars","F","1.0"
"130","Antonio Gandy-Golden",WAS,"vs. DAL","5 out of 5 stars","F","0.9"
"131","Tyron Johnson",LAC,"vs. JAC","3 out of 5 stars","F","0.8"
"132","Deonte Harris",NO,"vs. CAR","1 out of 5 stars","F","0.8"
"133","Bennie Fowler III",NO,"vs. CAR","1 out of 5 stars","F","0.8"
"134","Quintez Cephus",DET,"at ATL","5 out of 5 stars","F","0.7"
"135","Donovan Peoples-Jones",CLE,"at CIN","5 out of 5 stars","F","0.7"
"136","KeeSean Johnson",ARI,"vs. SEA","5 out of 5 stars","F","0.6"
"137","Ted Ginn Jr.",CHI,"at LAR","1 out of 5 stars","F","0.6"
"138","Cyril Grayson Jr.",TB,"at LV","3 out of 5 stars","F","0.5"
"139","Trent Sherfield",ARI,"vs. SEA","5 out of 5 stars","F","0.5"
"140","Pharoh Cooper",CAR,"at NO","3 out of 5 stars","F","0.4"
"141","Jaydon Mickens",TB,"at LV","3 out of 5 stars","F","0.4"
"142","DeAndre Carter",HOU,"vs. GB","1 out of 5 stars","F","0.4"
"143","Tyrie Cleveland",DEN,"vs. KC","2 out of 5 stars","F","0.3"
"144","Nick Westbrook-Ikhine",TEN,"vs. PIT","5 out of 5 stars","F","0.3"
"145","Isaiah Zuber",NE,"vs. SF","3 out of 5 stars","F","0.3"
"146","Keke Coutee",HOU,"vs. GB","1 out of 5 stars","F","0.2"
"147","Richie James Jr.",SF,"at NE","3 out of 5 stars","F","0.2"
"148","Gunner Olszewski",NE,"vs. SF","3 out of 5 stars","F","0.2"
"149","Vyncint Smith",NYJ,"vs. BUF","2 out of 5 stars","F","0.2"
