"RK","PLAYER NAME",TEAM,"OPP","MATCHUP (?)","START/SIT","PROJ. FPTS"
"32","J.D. McKissic",WAS,"vs. DAL","4 out of 5 stars","C","7.8"
"33","Damien Harris",NE,"vs. SF","2 out of 5 stars","C","7.5"
"34","Frank Gore",NYJ,"vs. BUF","4 out of 5 stars","C","7.4"
"35","Jamaal Williams",GB,"at HOU","5 out of 5 stars","C","7.4"
"36","Latavius Murray",NO,"vs. CAR","5 out of 5 stars","C-","6.9"
"37","Le'Veon Bell",KC,"at DEN","1 out of 5 stars","C-","6.2"
"38","Lamical Perine",NYJ,"vs. BUF","4 out of 5 stars","C-","6.1"
"39","Rex Burkhead",NE,"vs. SF","2 out of 5 stars","D+","5.6"
"40","Malcolm Brown",LAR,"vs. CHI","2 out of 5 stars","D+","5.6"
"41","Zack Moss",BUF,"at NYJ","5 out of 5 stars","D+","5.4"
"42","Duke Johnson Jr.",HOU,"vs. GB","5 out of 5 stars","D","5.3"
"43","Brian Hill",ATL,"vs. DET","4 out of 5 stars","D","5.3"
"44","JaMycal Hasty",SF,"at NE","1 out of 5 stars","D","4.9"
"45","Leonard Fournette",TB,"at LV","5 out of 5 stars","D","4.7"
"46","D'Ernest Johnson",CLE,"at CIN","3 out of 5 stars","D","4.6"
"47","Chris Thompson",JAC,"at LAC","1 out of 5 stars","D-","4.5"
"48","Tony Pollard",DAL,"at WAS","2 out of 5 stars","F","4.5"
"49","Giovani Bernard",CIN,"vs. CLE","3 out of 5 stars","F","4.4"
"50","Cam Akers",LAR,"vs. CHI","2 out of 5 stars","D-","4.2"
"51","Kerryon Johnson",DET,"at ATL","2 out of 5 stars","F","4.2"
"52","Corey Clement",PHI,"vs. NYG","4 out of 5 stars","F","4.2"
"53","Jeremy McNichols",TEN,"vs. PIT","1 out of 5 stars","F","4.2"
"54","Benny Snell Jr.",PIT,"at TEN","5 out of 5 stars","F","4.0"
"55","Wayne Gallman",NYG,"at PHI","2 out of 5 stars","F","3.8"
"56","Jeff Wilson Jr.",SF,"at NE","1 out of 5 stars","F","3.6"
"57","Dion Lewis",NYG,"at PHI","2 out of 5 stars","F","3.4"
"58","Darrel Williams",KC,"at DEN","1 out of 5 stars","F","3.4"
"59","Royce Freeman",DEN,"vs. KC","2 out of 5 stars","F","3.3"
"60","Jalen Richard",LV,"vs. TB","1 out of 5 stars","F","3.3"
"61","Ito Smith",ATL,"vs. DET","4 out of 5 stars","F","2.8"
"62","Travis Homer",SEA,"at ARI","3 out of 5 stars","F","2.7"
"63","Anthony McFarland Jr.",PIT,"at TEN","5 out of 5 stars","F","2.7"
"64","Peyton Barber",WAS,"vs. DAL","4 out of 5 stars","F","2.7"
"65","Ke'Shawn Vaughn",TB,"at LV","5 out of 5 stars","F","2.5"
"66","Kyle Juszczyk",SF,"at NE","1 out of 5 stars","F","2.4"
"67","Carlos Hyde",SEA,"at ARI","3 out of 5 stars","F","2.2"
"68","Ty Johnson",NYJ,"vs. BUF","4 out of 5 stars","F","2.2"
"69","LeSean McCoy",TB,"at LV","5 out of 5 stars","F","2.2"
"70","Dontrell Hilliard",CLE,"at CIN","3 out of 5 stars","F","2.1"
"71","Jaylen Samuels",PIT,"at TEN","5 out of 5 stars","F","1.9"
"72","AJ Dillon",GB,"at HOU","5 out of 5 stars","F","1.9"
"73","Raheem Mostert",SF,"at NE","1 out of 5 stars","F","1.9"
"74","Trenton Cannon",CAR,"at NO","1 out of 5 stars","F","1.9"
"75","Devontae Booker",LV,"vs. TB","1 out of 5 stars","F","1.9"
"76","Alex Armah",CAR,"at NO","1 out of 5 stars","F","1.8"
"77","T.J. Yeldon",BUF,"at NYJ","5 out of 5 stars","F","1.8"
"78","Darwin Thompson",KC,"at DEN","1 out of 5 stars","F","1.7"
"79","Jakob Johnson",NE,"vs. SF","2 out of 5 stars","F","1.6"
"80","Ryan Nall",CHI,"at LAR","3 out of 5 stars","F","1.6"
"81","Jason Huntley",PHI,"vs. NYG","4 out of 5 stars","F","1.6"
"82","Alec Ingold",LV,"vs. TB","1 out of 5 stars","F","1.5"
"83","C.J. Prosise",HOU,"vs. GB","5 out of 5 stars","F","1.4"
"84","Dare Ogunbowale",JAC,"at LAC","1 out of 5 stars","F","1.3"
"85","Samaje Perine",CIN,"vs. CLE","3 out of 5 stars","F","1.3"
"86","Elijhaa Penny",NYG,"at PHI","2 out of 5 stars","F","1.3"
"87","DeAndre Washington",KC,"at DEN","1 out of 5 stars","F","1.2"
"88","DeeJay Dallas",SEA,"at ARI","3 out of 5 stars","F","1.2"
"89","Eno Benjamin",ARI,"vs. SEA","2 out of 5 stars","F","1.2"
"90","Josh Adams",NYJ,"vs. BUF","4 out of 5 stars","F","0.6"
"91","Andy Janovich",CLE,"at CIN","3 out of 5 stars","F","0.6"
"92","Ryquell Armstead",JAC,"at LAC","1 out of 5 stars","F","0.4"
